what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1403611177479
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1403611177666
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1403611177997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403611179270
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1403611180584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403611190440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1403611190497
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1403611190771
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1403611191289
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1403611191432
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403611192853
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1403611196629
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1403611198563
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1403611199284
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1403611199434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403611200131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403611201253
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.javaAppletShortcut.run",1403611201275
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1403611204012
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1403611204354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403611204571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403611234316
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403611240140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403611272987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403611274876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403618877626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403618879845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403619170217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403619171876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403619784799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403619785498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403619799515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403619800249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403621562562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403621566557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403621570112
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1403621570117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403621570117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403621573870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403621582145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1403621582152
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403621584572
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403621586093
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403621586109
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1403621589778
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1403621604541
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1403621608172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403621677713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403621678754
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403621678891
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1403621679451
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1403621679492
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1403621679494
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1403621685864
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1403621685866
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1403621685868
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1403621685869
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1403621685870
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1403621685872
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1403621685873
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1403621685874
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1403621685876
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1403621685876
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1403621685877
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1403621685879
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1403621685881
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1403621685881
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1403621685883
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1403621685884
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1403621685887
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1403621685889
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1403621685891
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1403621685891
